,door_in,door_out,window_in,window_out,cvrmse
107,0.004722222,0.000277778,0.001018519,0.000277778,132.3469251
108,0.005462963,0.000277778,0.001018519,0.000277778,140.4596081
109,0.006203704,0.000277778,0.001018519,0.000277778,148.5816534
110,0.006944444,0.000277778,0.001018519,0.000277778,156.7116052
111,0.000277778,0.001018519,0.001018519,0.000277778,53.64436961
112,0.001018519,0.001018519,0.001018519,0.000277778,60.28015307
113,0.001759259,0.001018519,0.001018519,0.000277778,67.00190206
114,0.0025,0.001018519,0.001018519,0.000277778,73.78612653
115,0.003240741,0.001018519,0.001018519,0.000277778,80.6170554
116,0.003981481,0.001018519,0.001018519,0.000277778,87.48374898
117,0.004722222,0.001018519,0.001018519,0.000277778,94.3784012
118,0.005462963,0.001018519,0.001018519,0.000277778,101.2953032
119,0.006203704,0.001018519,0.001018519,0.000277778,108.2301892
120,0.006944444,0.001018519,0.001018519,0.000277778,115.1798108
121,0.000277778,0.001759259,0.001018519,0.000277778,31.98801884
122,0.001018519,0.001759259,0.001018519,0.000277778,37.10415995
123,0.001759259,0.001759259,0.001018519,0.000277778,42.49392717
124,0.0025,0.001759259,0.001018519,0.000277778,48.06536001
125,0.003240741,0.001759259,0.001018519,0.000277778,53.7620093
126,0.003981481,0.001759259,0.001018519,0.000277778,59.54794941
127,0.004722222,0.001759259,0.001018519,0.000277778,65.39948578
128,0.005462963,0.001759259,0.001018519,0.000277778,71.30047003
129,0.006203704,0.001759259,0.001018519,0.000277778,77.23956976
130,0.006944444,0.001759259,0.001018519,0.000277778,83.20862378
131,0.000277778,0.0025,0.001018519,0.000277778,19.96077713
132,0.001018519,0.0025,0.001018519,0.000277778,22.35914183
133,0.001759259,0.0025,0.001018519,0.000277778,25.69013343
134,0.0025,0.0025,0.001018519,0.000277778,29.6409821
135,0.003240741,0.0025,0.001018519,0.000277778,33.9962618
136,0.003981481,0.0025,0.001018519,0.000277778,38.61938561
137,0.004722222,0.0025,0.001018519,0.000277778,43.42489155
138,0.005462963,0.0025,0.001018519,0.000277778,48.35843876
139,0.006203704,0.0025,0.001018519,0.000277778,53.38454013
140,0.006944444,0.0025,0.001018519,0.000277778,58.47933638
141,0.000277778,0.003240741,0.001018519,0.000277778,20.39174489
142,0.001018519,0.003240741,0.001018519,0.000277778,18.92592911
143,0.001759259,0.003240741,0.001018519,0.000277778,18.6244118
144,0.0025,0.003240741,0.001018519,0.000277778,19.54116236
145,0.003240741,0.003240741,0.001018519,0.000277778,21.52105311
146,0.003981481,0.003240741,0.001018519,0.000277778,24.305654
147,0.004722222,0.003240741,0.001018519,0.000277778,27.65292561
148,0.005462963,0.003240741,0.001018519,0.000277778,31.38334212
149,0.006203704,0.003240741,0.001018519,0.000277778,35.37590168
150,0.006944444,0.003240741,0.001018519,0.000277778,39.55129664
151,0.000277778,0.003981481,0.001018519,0.000277778,27.54170281
152,0.001018519,0.003981481,0.001018519,0.000277778,24.49578064
153,0.001759259,0.003981481,0.001018519,0.000277778,21.88243967
154,0.0025,0.003981481,0.001018519,0.000277778,19.87307434
155,0.003240741,0.003981481,0.001018519,0.000277778,18.66378906
156,0.003981481,0.003981481,0.001018519,0.000277778,18.41290259
157,0.004722222,0.003981481,0.001018519,0.000277778,19.15810435
158,0.005462963,0.003981481,0.001018519,0.000277778,20.79256992
159,0.006203704,0.003981481,0.001018519,0.000277778,23.12853187
160,0.006944444,0.003981481,0.001018519,0.000277778,25.97743309
161,0.000277778,0.004722222,0.001018519,0.000277778,35.4258005
162,0.001018519,0.004722222,0.001018519,0.000277778,32.13651972
163,0.001759259,0.004722222,0.001018519,0.000277778,29.00111531
164,0.0025,0.004722222,0.001018519,0.000277778,26.07515504
165,0.003240741,0.004722222,0.001018519,0.000277778,23.4372132
166,0.003981481,0.004722222,0.001018519,0.000277778,21.1951043
167,0.004722222,0.004722222,0.001018519,0.000277778,19.48594779
168,0.005462963,0.004722222,0.001018519,0.000277778,18.45838854
